Gender,Cancer,Stage,Age group,No
Female,Other,Stage I,30-39 years,124.40385786149199
Female,Other,Stage I,40-49 years,259.68455575458984
Female,Other,Stage I,50-59 years,476.5415538847315
Female,Other,Stage I,60-69 years,645.1325743746223
Female,Other,Stage I,70-79 years,715.152232078085
Female,Other,Stage I,80+ years,586.3296579537531
Female,Other,Stage II,0-29 years,44.583169931326985
Female,Other,Stage II,30-39 years,47.02432332814316
Female,Other,Stage II,40-49 years,98.16006290355567
Female,Other,Stage II,50-59 years,180.13142433348827
Female,Other,Stage II,60-69 years,243.85837616616314
Female,Other,Stage II,70-79 years,270.3256182579596
Female,Other,Stage II,80+ years,221.63103207936322
Female,Other,Stage III,0-29 years,45.280469576342085
Female,Other,Stage III,30-39 years,47.7598036453637
Female,Other,Stage III,40-49 years,99.69532782802696
Female,Other,Stage III,50-59 years,182.94875604043688
Female,Other,Stage III,60-69 years,247.67242436858004
Female,Other,Stage III,70-79 years,274.55362532744596
Female,Other,Stage III,80+ years,225.09743521380432
Female,Other,Stage IV,0-29 years,57.02219888542877
Female,Other,Stage IV,30-39 years,60.14445185033697
Female,Other,Stage IV,40-49 years,125.54743500999302
Female,Other,Stage IV,50-59 years,230.38940298954216
Female,Other,Stage IV,60-69 years,311.8966382839879
Female,Other,Stage IV,70-79 years,345.7484335877295
Female,Other,Stage IV,80+ years,283.4677033929816
Female,Other,Stage NA,0-29 years,32.412675705043
Female,Other,Stage NA,30-39 years,34.187433164396936
Female,Other,Stage NA,40-49 years,71.36393152349524
Female,Other,Stage NA,50-59 years,130.95841884285383
Female,Other,Stage NA,60-69 years,177.2889293607251
Female,Other,Stage NA,70-79 years,196.53103655161516
Female,Other,Stage NA,80+ years,161.1292956518708
Female,Ovary,Stage I,0-29 years,77.48201475107561
Female,Ovary,Stage I,30-39 years,75.4019606637984
Female,Ovary,Stage I,40-49 years,178.36463798401968
Female,Ovary,Stage I,50-59 years,295.88769391518133
Female,Ovary,Stage I,60-69 years,218.92569268592501
Female,Ovary,Stage II,0-29 years,8.686324523663183
Female,Ovary,Stage II,30-39 years,8.453134603564843
